mode,compiler,trial,cores,batch_size,repetition,wall_time_s,peak_rss_mb
seq,clang,trial_1,1,-,1,22.9181,37.47
bulk,gcc,trial_1,2,25,1,17.99,278.19
bulk,gcc,trial_1,4,25,1,18.7908,518.14
bulk,clang,trial_1,4,25,1,15.0827,86.68
bulk,clang,trial_1,2,25,1,15.0558,99.37
bulk,gcc,trial_1,1,25,1,15.0649,159.87
bulk,clang,trial_1,1,25,1,13.6833,49.72
bulk,gcc,trial_1,8,25,1,21.1542,413.01
bulk,clang,trial_1,8,25,1,18.4443,357.84
bulk,gcc,trial_1,2,5,1,22.1411,92.84
bulk,clang,trial_1,2,5,1,19.0903,76.43
bulk,clang,trial_1,4,5,1,16.4325,220.55
bulk,clang,trial_1,1,5,1,16.2928,28.15
bulk,clang,trial_1,8,5,1,18.6759,149.43
bulk,gcc,trial_1,4,5,1,24.6918,342.05
bulk,gcc,trial_1,8,5,1,22.2442,1088.36
bulk,gcc,trial_1,1,5,1,17.3033,153.0
bulk,clang,trial_1,1,50,1,9.5716,45.22
bulk,clang,trial_1,8,50,1,16.3654,498.12
bulk,gcc,trial_1,8,50,1,25.0438,651.13
bulk,gcc,trial_1,1,50,1,16.919,147.58
bulk,gcc,trial_1,2,50,1,18.6661,138.32
bulk,clang,trial_1,2,50,1,11.9468,66.43
bulk,clang,trial_1,4,50,1,15.6615,263.58
bulk,gcc,trial_1,4,50,1,20.6842,376.03
bulk,clang,trial_1,2,75,1,16.4558,92.22
bulk,gcc,trial_1,2,75,1,18.2524,280.35
bulk,gcc,trial_1,4,75,1,19.7763,449.41
bulk,gcc,trial_1,8,75,1,18.6967,966.44
bulk,clang,trial_1,4,75,1,15.213,264.95
bulk,clang,trial_1,8,75,1,17.0357,183.59
bulk,gcc,trial_1,1,75,1,15.744,268.87
bulk,clang,trial_1,1,75,1,12.3022,42.79
seq,gcc,trial_1,1,-,1,21.8508,86.09
seq,clang,trial_1,2,-,1,19.441,60.13
seq,gcc,trial_1,2,-,1,28.1527,157.19
seq,clang,trial_1,4,-,1,19.4429,219.92
seq,gcc,trial_1,4,-,1,28.5835,373.0
seq,clang,trial_1,8,-,1,21.4647,352.47
seq,gcc,trial_1,8,-,1,25.0003,320.73
seq,clang,trial_2,1,-,1,20.9753,57.36
bulk,gcc,trial_2,2,25,1,18.432,126.89
bulk,gcc,trial_2,4,25,1,19.7424,378.43
bulk,clang,trial_2,4,25,1,14.7555,246.74
bulk,clang,trial_2,2,25,1,15.5826,100.22
bulk,gcc,trial_2,1,25,1,16.7802,201.78
bulk,clang,trial_2,1,25,1,13.0261,52.61
bulk,gcc,trial_2,8,25,1,20.3746,802.03
bulk,clang,trial_2,8,25,1,20.4056,417.44
bulk,gcc,trial_2,2,5,1,21.0584,145.98
bulk,clang,trial_2,2,5,1,16.0799,78.84
bulk,clang,trial_2,4,5,1,17.4207,76.68
bulk,clang,trial_2,1,5,1,17.1449,37.68
bulk,clang,trial_2,8,5,1,20.992,310.99
bulk,gcc,trial_2,4,5,1,25.9123,334.98
bulk,gcc,trial_2,8,5,1,23.0999,787.36
bulk,gcc,trial_2,1,5,1,21.9826,154.17
bulk,clang,trial_2,1,50,1,10.909,59.81
bulk,clang,trial_2,8,50,1,17.5678,325.47
bulk,gcc,trial_2,8,50,1,20.4677,1479.03
bulk,gcc,trial_2,1,50,1,15.2649,117.33
bulk,gcc,trial_2,2,50,1,18.7567,256.52
bulk,clang,trial_2,2,50,1,14.0477,109.77
bulk,clang,trial_2,4,50,1,15.7505,181.52
bulk,gcc,trial_2,4,50,1,21.9272,567.85
bulk,clang,trial_2,2,75,1,13.614,82.21
bulk,gcc,trial_2,2,75,1,17.5323,274.76
bulk,gcc,trial_2,4,75,1,18.1374,255.74
bulk,gcc,trial_2,8,75,1,21.7768,390.56
bulk,clang,trial_2,4,75,1,13.9879,209.06
bulk,clang,trial_2,8,75,1,16.6239,411.0
bulk,gcc,trial_2,1,75,1,15.1761,92.72
bulk,clang,trial_2,1,75,1,11.1157,47.2
seq,gcc,trial_2,1,-,1,23.7072,96.71
seq,clang,trial_2,2,-,1,19.471,57.22
seq,gcc,trial_2,2,-,1,25.3852,91.0
seq,clang,trial_2,4,-,1,18.9834,180.25
seq,gcc,trial_2,4,-,1,27.7852,804.35
seq,clang,trial_2,8,-,1,18.7979,354.65
seq,gcc,trial_2,8,-,1,28.0491,954.64
seq,clang,trial_3,1,-,1,18.0044,50.31
bulk,gcc,trial_3,2,25,1,20.1004,115.93
bulk,gcc,trial_3,4,25,1,20.8215,779.78
bulk,clang,trial_3,4,25,1,14.321,206.34
bulk,clang,trial_3,2,25,1,12.9067,81.91
bulk,gcc,trial_3,1,25,1,14.785,177.85
bulk,clang,trial_3,1,25,1,12.9261,68.66
bulk,gcc,trial_3,8,25,1,19.8922,769.65
bulk,clang,trial_3,8,25,1,18.9118,392.78
bulk,gcc,trial_3,2,5,1,19.3331,241.65
bulk,clang,trial_3,2,5,1,16.542,78.96
bulk,clang,trial_3,4,5,1,17.3054,187.0
bulk,clang,trial_3,1,5,1,16.5523,23.79
bulk,clang,trial_3,8,5,1,17.4563,355.39
bulk,gcc,trial_3,4,5,1,22.3037,606.0
bulk,gcc,trial_3,8,5,1,24.1568,378.77
bulk,gcc,trial_3,1,5,1,22.0283,101.25
bulk,clang,trial_3,1,50,1,9.5905,92.28
bulk,clang,trial_3,8,50,1,15.6728,422.74
bulk,gcc,trial_3,8,50,1,23.4757,841.06
bulk,gcc,trial_3,1,50,1,13.5276,201.85
bulk,gcc,trial_3,2,50,1,16.0302,119.52
bulk,clang,trial_3,2,50,1,13.6799,109.89
bulk,clang,trial_3,4,50,1,15.5916,201.04
bulk,gcc,trial_3,4,50,1,19.4085,459.67
bulk,clang,trial_3,2,75,1,13.0295,82.97
bulk,gcc,trial_3,2,75,1,18.8213,208.3
bulk,gcc,trial_3,4,75,1,20.8297,396.51
bulk,gcc,trial_3,8,75,1,20.4006,795.59
bulk,clang,trial_3,4,75,1,15.1469,223.99
bulk,clang,trial_3,8,75,1,17.694,528.77
bulk,gcc,trial_3,1,75,1,15.5861,148.58
bulk,clang,trial_3,1,75,1,11.3963,53.52
seq,gcc,trial_3,1,-,1,25.6362,100.61
seq,clang,trial_3,2,-,1,19.834,75.64
seq,gcc,trial_3,2,-,1,25.1213,136.43
seq,clang,trial_3,4,-,1,20.7561,148.11
seq,gcc,trial_3,4,-,1,26.4356,682.82
seq,clang,trial_3,8,-,1,22.6134,252.86
seq,gcc,trial_3,8,-,1,24.2756,732.26
seq,clang,trial_4,1,-,1,19.4983,22.14
bulk,gcc,trial_4,2,25,1,19.4251,234.07
bulk,gcc,trial_4,4,25,1,21.2388,258.82
bulk,clang,trial_4,4,25,1,16.494,140.07
bulk,clang,trial_4,2,25,1,13.8978,74.63
bulk,gcc,trial_4,1,25,1,15.7347,156.99
bulk,clang,trial_4,1,25,1,12.8063,60.63
bulk,gcc,trial_4,8,25,1,21.7026,1245.09
bulk,clang,trial_4,8,25,1,17.2682,268.26
bulk,gcc,trial_4,2,5,1,21.6256,238.55
bulk,clang,trial_4,2,5,1,18.6043,83.65
bulk,clang,trial_4,4,5,1,14.6835,152.1
bulk,clang,trial_4,1,5,1,18.7058,44.51
bulk,clang,trial_4,8,5,1,18.5358,322.77
bulk,gcc,trial_4,4,5,1,21.8565,521.29
bulk,gcc,trial_4,8,5,1,23.6176,1213.22
bulk,gcc,trial_4,1,5,1,21.0207,104.47
bulk,clang,trial_4,1,50,1,13.8677,72.81
bulk,clang,trial_4,8,50,1,16.9887,325.77
bulk,gcc,trial_4,8,50,1,17.3268,1142.54
bulk,gcc,trial_4,1,50,1,14.9997,77.88
bulk,gcc,trial_4,2,50,1,15.601,209.21
bulk,clang,trial_4,2,50,1,15.1242,95.17
bulk,clang,trial_4,4,50,1,15.7363,117.81
bulk,gcc,trial_4,4,50,1,17.8025,710.74
bulk,clang,trial_4,2,75,1,14.8603,87.75
bulk,gcc,trial_4,2,75,1,19.6185,123.7
